economy,PHL,PHL,PHL,VNM,VNM,VNM
series,Manufacturing,Services,Poverty,Manufacturing,Services,Poverty
2000,25.2795652500131,51.0836200202037,33.0,,38.7346426776196,
2001,25.3115458938417,51.7995754391189,,,38.6295307451771,
2002,25.135408678046,51.7681513225796,,,38.4838790358405,28.9
2003,24.8368726452881,52.3084883072534,24.9,,37.9875554860028,
2004,24.0119978825828,52.3969001028699,,,37.9835511186106,19.5
2005,24.2699011657558,52.6687766910829,,18.8232835631471,42.5688812156661,
2006,23.8291853953244,53.1761655626521,26.6,19.3807256267869,42.6884835125499,16.0
2007,23.1509115996374,53.3926314484507,,19.3804144953877,42.8332754503841,
2008,23.2686676777552,52.7186368304904,,18.5796576460957,42.5091596964692,14.5
2009,21.7386143914197,53.9372440034219,26.3,18.3010354592131,43.4433537536156,
2010,21.9192017163827,53.9115789019179,,17.1305705708367,40.6273720032231,20.7
2011,21.704326952574,54.5655820660708,,18.694145538196,38.9070145300747,
2012,21.3285712092783,55.5046996251733,25.2,20.2740924828827,39.1188401087315,17.2
2013,20.434498765772,56.7511282641544,,20.6874536915425,40.542010129242,
2014,20.5750839907396,56.6808739042732,,20.371229229791,40.9236092881482,13.5
2015,19.9280223742627,58.5215498609238,23.5,20.9600916821922,42.1930087721287,
2016,19.5903031993868,59.508957300169,,21.4882532002034,42.8544900073075,9.2
2017,19.5002020558133,59.6904952918166,,22.6271239749306,42.5807243141144,7.9
2018,19.0982471668147,59.7861194870255,16.7,23.3671679233065,42.1709178908888,6.8
2019,18.516454400296,60.8521683732324,,23.7867165015145,42.4687227777403,5.7
2020,17.6581790478661,61.4147713831863,,23.9472430412931,41.8311604395691,4.8
2021,17.6400846961045,61.0410268609665,18.1,24.4593726835115,41.2574400803721,4.4
2022,17.2293794131524,61.2269920189689,,24.7772286923041,41.1356424431376,4.2
2023,16.2303262947653,62.4020109621156,15.5,24.179672453009,42.2942279625883,
2024,15.6771530992166,63.2234952219979,,24.4304272603192,42.3596025324624,
